id|rightsId|isUpdate|isDLC|isDemo|name|version|region
010038B0084EA000|010038B0084EA0000000000000000004|0|0|0|#Breakforcist Battle|#Breakforcist Battle|US
0100C53004C52000|0100C53004C520000000000000000004|0|0|0|0|Flat Heroes|
010056200B46A000|010056200B46A0000000000000000004|0|0|0|0|Guns Gore and Cannoli 2|
010079A009B7A000|010079A009B7A0000000000000000003|0|0|0|0||
0100C9600A88E000|0100C9600A88E0000000000000000004|0|0|0|0|Picross S2|
010017600B532000|010017600B5320000000000000000005|0|0|0|0|Piczle Lines DX 500 More Puzzles!|
010002F009A7A000|010002F009A7A0000000000000000004|0|0|0|0|Road to Ballhalla|0
010082900B810000|010082900B8100000000000000000005|0|0|0|1|Flat Heroes Demo|
0100D6300B938000|0100D6300B9380000000000000000004|0|0|0|1|Yoku's Island Express Demo|
01000320000CC000|01000320000CC0000000000000000000|0|0|0|1-2-Switch™|1-2-Switch™|US
01000320000CC800|01000320000CC8000000000000000004|1|0|0|1-2-Switch™|1-2-Switch™|0
01004D1007926000|01004D10079260000000000000000004|0|0|0|10 Second Run RETURNS|10 Second Run RETURNS|US
01004D1007926800|01004D10079268000000000000000004|1|0|0|10 Second Run RETURNS|10 Second Run RETURNS|0
0100DC000A472000|0100DC000A4720000000000000000004|0|0|0|10 Second Run RETURNS (DEMO)|10 Second Run RETURNS (DEMO)|US
0100A840047C2000|0100A840047C20000000000000000003|0|0|0|12 orbits|12 orbits|US
0100A840047C2800|00000000000000000000000000000000|1|0|0|12 orbits|12 orbits|65536
01005CA0099AA000|01005CA0099AA0000000000000000004|0|0|0|1917 - The Alien Invasion DX|1917 - The Alien Invasion DX|US
01005CA0099AA800|00000000000000000000000000000000|1|0|0|1917 - The Alien Invasion DX|1917 - The Alien Invasion DX|65536
0100749009844000|01007490098440000000000000000004|0|0|0|20XX|20XX|US
0100023009C72000|0100023009C720000000000000000003|0|0|0|30-in-1 Game Collection: Volume 1|30-in-1 Game Collection: Volume 1|GB
01003670066DE000|01003670066DE0000000000000000000|0|0|0|36 Fragments of Midnight|36 Fragments of Midnight|US
01006DA00707C000|01006DA00707C0000000000000000003|0|0|0|3D MiniGolf|3D MiniGolf|US
01006DA00707C800|00000000000000000000000000000000|1|0|0|3D MiniGolf|3D MiniGolf|65536
0100969005E98000|0100969005E980000000000000000003|0|0|0|60 Seconds!|60 Seconds!|US
0100969005E98800|00000000000000000000000000000000|1|0|0|60 Seconds!|60 Seconds!|65536
010075F00B0D0000|010075F00B0D00000000000000000004|0|0|0|6180 the moon|6180 the moon|JP
0100ECF008474000|0100ECF0084740000000000000000004|0|0|0|6180 the moon|6180 the moon|US
0100ECF008474800|0100ECF0084748000000000000000004|1|0|0|6180 the moon|6180 the moon|0
010006A0042F0000|010006A0042F00000000000000000000|0|0|0|88 Heroes - 98 Heroes Edition|88 Heroes - 98 Heroes Edition|US
010006A0042F0800|010006A0042F08000000000000000003|1|0|0|88 Heroes - 98 Heroes Edition|88 Heroes - 98 Heroes Edition|0
01000060085D2000|01000060085D20000000000000000003|0|0|0|A Hole New World|A Hole New World|US
01008DD006C52000|01008DD006C520000000000000000004|0|0|0|A Magical High School Girl|A Magical High School Girl|US
0100978009B98000|0100978009B980000000000000000003|0|0|0|A Normal Lost Phone|A Normal Lost Phone|US
0100EB600A4DA000|0100EB600A4DA0000000000000000004|0|0|0|A Robot Named Fight|A Robot Named Fight|US
0100EB600A4DA800|0100EB600A4DA8000000000000000004|1|0|0|A Robot Named Fight|A Robot Named Fight|0
0100F6C00641C000|0100F6C00641C0000000000000000003|0|0|0|A.O.T. 2|A.O.T. 2|GB
0100F6C00641C800|00000000000000000000000000000000|1|0|0|A.O.T. 2|A.O.T. 2|393216
01003C400871E000|01003C400871E0000000000000000003|0|0|0|ACA NEOGEO 2020 SUPER BASEBALL|ACA NEOGEO 2020 SUPER BASEBALL|US
0100AC40038F4000|0100AC40038F40000000000000000000|0|0|0|ACA NEOGEO AERO FIGHTERS 2|ACA NEOGEO AERO FIGHTERS 2|US
0100AC40038F4800|0100AC40038F48000000000000000003|1|0|0|ACA NEOGEO AERO FIGHTERS 2|ACA NEOGEO AERO FIGHTERS 2|0
0100B91008780000|0100B910087800000000000000000004|0|0|0|ACA NEOGEO AERO FIGHTERS 3|ACA NEOGEO AERO FIGHTERS 3|US
0100B91008780800|00000000000000000000000000000000|1|0|0|ACA NEOGEO AERO FIGHTERS 3|ACA NEOGEO AERO FIGHTERS 3|65536
0100A76002B46000|0100A76002B460000000000000000000|0|0|0|ACA NEOGEO ALPHA MISSION II|ACA NEOGEO ALPHA MISSION II|US
01006A80038FC000|01006A80038FC0000000000000000003|0|0|0|ACA NEOGEO ART OF FIGHTING|ACA NEOGEO ART OF FIGHTING|US
